Univ. Rank,First Initial,Last Initial,2017,2018,2019,2020,2021,2022,2023,h-index,i-10 index
56,H,A,496,763.0,,1150.0,1489.0,2490,3684,23,35
56,V,B,163,,299.0,369.0,590.0,595,746,32,56
56,Z,C,90,,103.0,91.0,130.0,258,406,24,41
56,B,C,854,912.0,732.0,,668.0,609,536,56,167
56,E,D,19,28.0,62.0,84.0,107.0,141,143,14,18
56,R,E,199,227.0,231.0,248.0,,211,199,28,56
56,M,G,248,595.0,955.0,,1717.0,1873,2173,26,49
56,K,J,22,13.0,38.0,39.0,,52,52,10,11
56,Y,K,192,280.0,,1012.0,1277.0,1436,1660,28,55
56,P,K,111,85.0,83.0,136.0,158.0,225,271,21,37
